Word,Positive,Negative,Strong,Weak,Active,Passive
bluff,,1,,3,2,
blunder,,3,,3,2,
blush,,2,,3,,3
boast,,1,1,,,1
boil,,1,,,3,
bold,1,,3,,3,
bomb,,3,2,,2,
bombard,,3,2,,3,
bombardment,,3,2,,3,
bomber,,,3,,,
bondag,,1,,3,,2
bonu,2,,1,,,
boom,,,2,,,
boost,1,,3,,2,
bor,,1,,,1,
born,,,,,,1
borrow,,,,2,1,
bother,,2,,,2,
bothersom,,2,,,1,
bought,,,,,1,
bound,,1,3,,1,
bow,,1,,1,1,
br,,,,,2,
brag,,1,,,,1
brak,,,,,1,
brandish,,2,2,,2,
brav,3,,2,,,
breach,,2,3,,2,
break,,2,3,,3,
breakdown,,2,,3,,
breakup,,2,,,1,
bridg,,,1,,1,
bright,3,,1,,,
brilliant,3,,2,,,
broad,,,2,,,
brok,,2,,,1,
broken,,2,,,1,
brotherhood,3,,2,,,
brotherly,3,,,,,
brought,,,,,2,
brutal,,3,3,,3,
build,,,3,,3,
build*-up,,,2,,2,
built,,,3,,3,
burden,,2,,2,,
buri,,2,3,,2,
burial,,2,,,1,
burn,,2,,,3,
burst,,1,3,,2,
bury,,2,3,,2,
busy,,,1,,3,
butcher,,3,3,,3,
buy,,,,,1,
cal,,,,,1,
calamiti,,3,,3,,
calamity,,3,,3,,
calculat,,,2,,,2
call,,,,,1,
calm,2,,1,,,3
cam,,,,,1,
camp,,,,,1,
campaign,,,,,3,
can,,,3,,,
cancel,,,1,,,1
candid,2,,,,,
candor,2,,,,,
cannot,,,,3,,
capability,,,1,,,
capabl,1,,3,,,
capaciti,,,2,,,
capacity,,,2,,,
capital,,,2,,,
captiv,,3,,3,,
captur,,2,3,,3,
car,2,,1,,1,
careful,2,,1,,,
careles,,2,,2,,
carnag,,3,,,,
carri,,,2,,2,
carry,,,2,,2,
carv,,3,2,,2,
cast,,,,,2,
castigat,,2,,,,1
castigation,,2,,,,
casual,,,,,,2
casualti,,3,,2,,
casualty,,3,,2,,
catastroph,,3,,3,,
catch,,,1,,2,
caught,,,1,,2,
caus,,,2,,2,
caution,,1,,2,,3
ceas,,,,1,,3
ceasf*-fir,2,,,,,
ceaselessly,,,3,,3,
celebrat,3,,,,3,
censur,,2,1,,,1
central,,,2,,,
centainti,,,1,,,
certainty,,,1,,,
certifi,,,,,,1
certify,,,,,,1
cessation,,,,1,,2
chain,,2,3,,2,
chairman,,,1,,,
chairmen,,,1,,,
challeng,,2,2,,2,
champion,3,,3,,2,
chang,,,,,2,
charg,,,1,,3,
charitabl,3,,,,,
chariti,1,,,,,
charity,1,,,,,
charm,2,,1,,1,
chas,,2,2,,3,
chastis,,1,1,,,
chastisement,,1,1,,,
cheap,,2,,1,,
cheat,,2,,2,2,
check,,2,2,,1,
cheer,3,,,,,
cheerful,3,,,,,
cherish,3,,2,,,2
chief,,,2,,,
childish,,1,,2,,
chok,,2,,3,,
choos,,,,,,1
chop,,,2,,2,
chos,,,,,,1
chosen,,,,,,1
circulat,,,1,,1,
circumscrib,,1,2,,2,
circumscription,,1,2,,2,
civiliz,2,,,,,
civilization,2,,,,,
cl,,,,3,1,
claim,,1,1,,,1
clamor,,1,2,,3,
clandestin,,3,,,,
clash,,2,2,,2,
classifi,,,,,,1
classify,,,,,,1
clean,1,,1,,1,
clearly,1,,,,,
clemency,2,,,,,
clever,3,,1,,,
climb,,,2,,3,
clos,,,,,2,
clumsy,,1,,3,,
coach,,,,,2,
coalition,3,,3,,,
coars,,1,,,,
coast,,,,,,3
coerc,,3,3,,2,
coercion,,3,3,,2,
coerciv,,3,3,,2,
coexistenc,2,,,,,
cohesiv,2,,3,,,
coincid,2,,,,,
cold,,1,,,,
collaborat,3,,2,,2,
collaboration,2,,,,1,
collaps,,3,,3,,3
collect,,,,,1,
collectiv,,,1,,,
collid,,2,2,,2,
collision,,2,,,2,
coloni,,3,,,,
colony,,3,,,,
com,,,,,1,
combat,,2,2,,3,
combativ,,3,3,,3,
combination,1,,1,,,
comedy,2,,,,,
comfort,3,,1,,,2
comfortabl,2,,1,,,
comity,2,,,,,
command,,1,3,,3,
commenc,,,,,1,
commend,3,,1,,1,
comment,,,,,,1
commerc,,,,,1,
commercial,,,2,,,
commission,,,2,,,
commit,,,,,2,
commitment,1,,,,2,
common,1,,,,,
communicat,1,,,,,2
communiti,2,,2,,,
community,2,,2,,,
compact,1,,2,,,
companion,2,,,,,
compar,,,,,,2
compassion,3,,,,,
compatibl,2,,1,,,
compatriot,2,,,,,
compel,,2,3,,3,
compensat,3,,1,,1,
compet,,2,3,,3,
competent,1,,2,,,
competition,,,,,3,
compil,,,,,,1
complain,,2,,,,1
complaint,,1,,,,1
complet,,,2,,,
compli,1,,,,,2
complicat,,1,,,1,
complicity,,2,,,,
compliment,2,,,,,
comply,1,,,,,2
comprehend,1,,1,,,2
comprehensiv,,,2,,,
compromis,2,,,,,1
compulsion,,2,3,,1,
comrad,3,,1,,,
conceal,,1,,,,
conced,,,,3,,3
conceit,,2,,,,
conceiv,,,,,,2
concentrat,,,2,,2,
concentration,,,2,,,
concern,,1,,,,2
concession,2,,,1,,1
conciliat,2,,1,,,1
conclud,,,,,,2
concord,2,,1,,,1
concret,,,2,,,
concur,2,,,,,2
condemn,,3,2,,,1
condemnation,,2,2,,,
condemnatory,,2,1,,,
condition,,,,,1,
condon,1,,,1,,2
conduct,,,,,1,
confer,1,,,,,2
conferenc,1,,,,,
confes,,1,,2,,1
confid,1,,,,,2
confidenc,2,,2,,,
confident,3,,2,,,
confidential,1,,,,,
confin,,1,3,,2,
confirm,,,2,,,1
confiscat,,2,3,,2,
confiscation,,2,3,,2,
confiscatory,,2,2,,2,
conflagration,,3,,,2,
conflict,,3,,,3,
conform,1,,,1,,2
conformity,,,,1,,3
confound,,1,3,,2,
confront,,1,3,,2,
confrontation,,2,3,,,
confus,,2,,2,,1
confusion,,2,,2,,
congenial,2,,,1,,2
congratulat,3,,,,,2
connect,1,,,,1,
connection,2,,,,,
conscienc,1,,,,,
conscientiou,2,,,,,
consciou,,,2,,,
consciousnes,,,2,,,
consecrat,2,,,,,
consensu,2,,2,,,
consent,2,,1,,,2
conserv,,,2,,,3
consider,1,,,,,
considerabl,,,3,,,
considerat,2,,,,,2
consideration,1,,,,,
consistent,,,2,,,
consistently,,,2,,,
consol,1,,1,,,2
consolidat,2,,3,,,
consonanc,1,,,,,
conspicuou,,,1,,,
conspir,,3,2,,3,
conspiraci,,3,2,,3,
conspiracy,,3,2,,3,
conspiratory,,3,2,,,
constant,1,,2,,,
constrain,,2,3,,,
constraint,,2,3,,,
constrictiv,,1,,,,1
construct,,,3,,2,
construction,,,3,,2,
constructiv,,1,,,,1
consul,1,,,,,
consult,1,,,,,1
consultation,1,,,,,1
consum,,,,,2,
contact,1,,,,1,
contain,,,2,,1,
contemplat,,,,,,3
contempt,,3,,,,2
contemptibl,,3,,,,
contend,,1,2,,2,
content,3,,,,,3
contention,,,2,,2,
contest,,1,2,,3,
continu,,,1,,1,
continual,,,2,,2,
contradict,,1,,,,
contradiction,,1,,,,
contradictory,,1,,,,
contrary,,2,,,,
contrast,,,,,,1
contraven,,2,2,,2,
contravention,,2,2,,2,
contribut,2,,2,,2,
contribution,1,,2,,,
contriv,,1,,,1,
contrivanc,,2,,,,2
control,,,3,,2,
credit,1,,,,,
creditabl,1,,2,,,
creep,,,,2,1,
crept,,,,2,1,
cri,,3,,3,,1
crim,,3,,,,
criminal,,3,,,,
crise,,3,,,,
crisi,,3,,,,
critic,,2,,,,
critical,,2,,,,
criticism,,2,,,,1
criticiz,,2,,,,1
crook,,2,,,,
cros,,2,,,2,
crowd,,,,,1,
crud,,1,,2,,
cruel,,3,,,,
cruelly,,3,,,,
cruelty,,3,,,,
crush,,3,3,,3,
cry,,3,,3,,1
cultivat,1,,,,2,
curb,,1,2,,2,
curiou,,1,,,,3
curs,,3,,,,1
cut,,1,3,,2,
cynic,,3,,,,
cynically,,2,,,,
dainty,1,,,2,,
damag,,2,3,,2,
damn,,3,,,,1
danc,2,,,,3,
danger,,3,,,,
dangerou,,3,,,,
dar,,3,1,,2,
darkest,,3,,,,
darknes,,1,,,,
dart,,,2,,3,
dash,,,,,3,
de,,,1,,1,
dead,,3,,3,,3
deadlock,,2,,2,,3
deadly,,2,3,,,
dear,3,,,,,
death,,3,,3,,3
debas,,2,,,,
debat,,1,1,,,1
debt,,,,2,,
decadent,,3,,3,,
decay,,2,,3,,3
deceas,,2,,2,,3
deceit,,3,,,,
deceiv,,3,,2,,
decent,2,,,,,
deception,,2,,,,
deceptive,,1,,,,
decid,,,2,,1,
decision,,,2,,1,
decisiv,,,3,,3,
declar,,,1,,,
declaration,,,1,,,
declin,,2,,3,,3
decorat,,,,,1,
decre,,,,,2,
decreas,,1,,2,,
decry,,1,,,,2
dedicat,2,,,,,1
dedication,2,,1,,,
deepen,,,,,1,
defam,,1,,,,2
default,,2,,,,3
defeat,,3,3,,3,
defect,,2,,2,,
defend,3,,3,,3,
defens,1,,2,,3,
defensiv,,2,,2,,2
defer,1,,,,,2
deferenc,1,,,,,2
defi,,3,3,,3,
defianc,,3,3,,3,
defiant,,3,3,,3,
deficienci,,2,,2,,
deficeincy,,2,,2,,
definit,,,2,,,
defy,,3,3,,3,
degenerat,,3,,3,,3
degrad,,2,,,,1
degradation,,3,,,,2
deify,3,,,,,2
delay,,1,,1,,2
delegat,,,,,1,
deliberat,,,1,,,2
deliberately,,,1,,,
delicat,1,,,2,,
deliciou,3,,,,,
delight,3,,,,,
delightful,3,,,,,
deliver,,,2,,2,
delusion,,2,,1,,
demand,,1,3,,2,
demarch,,,,,1,
demolish,,3,3,,3,
demonstrat,,,2,,2,
deni,,3,1,,,2
denial,,2,,,,
denounc,,2,2,,,2
denunciation,,3,2,,1,
deny,,3,1,,,2
depart,,,,,1,
depend,,,,3,,3
dependabl,2,,3,,,
dependanc,1,,,3,,3
dependent,,,,3,,3
deplor,,1,,,,3
deplorabl,,3,,,,
deploy,,,1,,2,
deployment,,,1,,2,
deposit,,,,,1,
deprecat,,3,,,,
deprecation,,3,,,,
deprecatory,,1,,1,,1
depreciat,,1,,1,,2
depreciation,,2,,,,2
depredation,,2,,2,,2
depres,,2,,1,,3
depression,,3,,2,,
depriv,,3,3,,2,
deprivation,,2,,3,,
derid,,1,,,,2
derision,,3,,,,1
descend,,,,1,,
descent,,,,1,,
describ,,,,,,2
desert,,2,,,,
deserv,2,,,,,
design,,,,,1,
designat,,,,,1,
desir,3,,,,,2
desirabl,3,,,,,
desolat,,3,,3,,
despair,,3,,3,,3
desperat,,3,,,3,
despicabl,,3,,,,
despis,,3,3,,,2
destin,,,1,,,
destini,,,1,,,
destiny,,,1,,,
destitut,,3,,3,,3
destroy,,3,3,,3,
destruction,,3,,,3,
destructiv,,3,3,,3,
detach,,2,2,,2,
detain,,2,2,,2,
detect,,,,,1,
detection,,,,,1,
detent,2,,,1,,1
deter,,2,2,,1,
deteriorat,,2,,2,,2
determin,,,3,,1,
determination,,,2,,,
deterrenc,,2,3,,1,
detest,,3,,,,1
detestabl,,3,,,,
detrimental,,2,2,,,
devastat,,3,3,,3,
develop,,,2,,2,
development,,,2,,2,
deviant,,2,,2,,
devil,,3,,,,
devot,3,,1,,,
devotion,3,,,,,1
devour,,3,3,,3,
di,,3,,3,,3
dictat,,,3,,2,
dictatorship,,2,,,,
did,,,1,,,
differ,,2,,,1,
differenc,,2,,,,
different,,2,,,,
difficulti,,2,,,,
difficult,,2,,,,
difficulty,,2,,,,
dig,,,,,3,
digest,,,,,1,
dignifi,2,,1,,,
dignity,2,,1,,,
diligent,2,,2,,3,
dim,,1,,,,
diminish,,,,2,,3
diminutiv,,,,2,,
dip,,,,,1,
dir,,3,,,,
direct,,,2,,2,
dirt,,2,,,,
dirty,,3,,,,
disadvantag,,2,,3,,
disadvantageou,,2,,3,,
disaffection,,3,,,,
disagre,,2,,,,1
disagreeabl,,2,,,,
disagreement,,1,,,,
disappear,,,,,,3
disappoint,,3,,,,3
disappointment,,2,,,,2
disapprov,,1,,,,
disarmament,,,,,1,
disaster,,3,,3,,
disastrou,,3,,3,,
disavow,,2,,1,,2
disavowal,,2,,1,,2
discard,,,,,1,
discharg,,1,1,,3,
disciplin,,1,3,,2,
disclaim,,1,,,,2
disclos,,1,,,,2
discomfort,,2,,,,
discontent,,2,,1,,1
discontinu,,,,,,3
discontinuanc,,,,,,2
discontinuation,,,,,,1
discord,,2,,3,,
discordant,,2,,,,
discount,,,,,,2
discourag,,3,,1,,3
discover,,,,,2,
discovery,,,,,1,
discredit,,2,,,,1
discreet,2,,,,,
discretion,1,,,,,
discus,1,,,,,1
discussion,1,,,,,1
disdain,,2,,,,2
disdainful,,2,,,,2
diseas,,3,,2,,
disfavor,,1,,,,
disgrac,,3,,2,,
disgraceful,,3,,2,,
disguise,,2,,,,
disgust,,3,,1,,3
dishonest,,3,,2,,
dishonesty,,3,,2,,
dislik,,3,,,,2
dismal,,3,,2,,
dismantl,,,,,2,
dismember,,3,3,,2,
dismemberment,,3,,,2,
dismis,,1,,,1,
disobedienc,,1,,,2,
disobedient,,1,,,2,
disobey,,1,,,2,
disorder,,2,,2,,
disown,,1,,,,
disparag,,1,,,,
disparagement,,1,,,,
dispatch,,,,,2,
displac,,,3,,2,
display,,,,,,1
dispeas,,2,,,,
displeasur,,2,,1,,
dispos,,1,3,,2,
disposal,,2,,,,
disposses,,1,2,,,
disprov,,1,,,,1
disput,,2,2,,,1
disregard,,2,,,,3
disreput,,2,,2,,
disreputabl,,2,,2,,
disrespect,,1,,,,
disrespectful,,1,,,,
disrupt,,2,,,2,
disruptiv,,2,,,2,
dissent,,2,,,,1
dissention,,2,,2,,
dissidenc,,2,,2,,
dissident,,2,,2,,
dissolv,,,2,,1,
dissonanc,,2,,,,
dissonant,,2,,,,
distast,,2,,,,
distasteful,,2,,,,
distinction,2,,,,,
distinguish,3,,,,,1
distort,,2,,,,1
distortion,,2,,,,
distres,,3,,2,,
distribut,,,,,2,
distrust,,2,,,,
distrustful,,2,,,,
disturb,,2,1,,3,
disturbanc,,2,,,2,
divergenc,,1,,,,
diversion,,,1,,,
diversity,1,,2,,,
divert,,1,2,,1,
divid,,2,2,,2,
divin,3,,3,,,
division,,2,,2,,
divorc,,2,,1,1,
do,,,1,,2,
dodg,,,,,3,
dominant,,,3,,,
dominat,,2,3,,1,
domination,,3,3,,,
don,,,1,,,
doom,,3,,3,,3
doubl,,,1,,,
doubt,,2,,1,,3
doubtful,,2,,2,,
doubtles,2,,1,,,
down,,,,2,,
draft,,,1,,1,
drag,,,,,2,
drain,,1,,2,,
drank,,,,,1,
draw,,,,,1,
drawn,,1,,,,
dread,,3,,2,,3
dreadful,,3,,2,,
dream,,,,,,3
dreamt,,,,,,3
dreary,,2,,1,,
drift,,,,2,,3
drink,,,,,1,
driv,,,,,2,
driven,,,,,,2
drop,,2,,1,,3
drov,,,,,2,
drown,,2,,3,,3
drunk,,3,,2,,
drunken,,3,,3,,
dug,,,,,3,
dull,,1,,1,,3
dumb,,2,,3,,3
dup,,2,,2,,
duplicat,,,,,2,
duplication,,,,,1,
durabl,2,,3,,,
dures,,3,2,,,
duti,1,,1,,,
duty,1,,1,,,
dwell,,,,,,3
dynamic,,,3,,3,
eager,2,,2,,,
earnest,2,,1,,,
earnestly,2,,,,,
eas,2,,,,,
easy,2,,,,,
eat,,,,,1,
ecstatic,3,,,,,
educat,,,,,1,
effect,,,1,,1,
effectiv,2,,3,,2,
effectively,1,,2,,,
efficiency,2,,3,,,
effort,,,,,2,
elaborat,,,1,,,1
elaps,,,,,,3
elder,,,1,,,
elderly,,,,2,,
elect,,,,,2,
eleganc,3,,1,,,
elevat,,,2,,3,
eliminat,,2,3,,3,
elimination,,2,,,2,
eloquenc,2,,1,,,
eloquent,2,,1,,,
embark,,,,,2,
embarras,,2,,2,1,
embarassment,,2,,2,,
embodi,,,1,,,2
embody,,,1,,,2
embrac,3,,,,2,
emerg,,,1,,2,
emergency,,2,,,,
eminent,3,,2,,,
emphasiz,,,1,,,2
emphatic,,,3,,,
empir,,,2,,,
employ,,,,,2,
empti,,2,,2,,
empty,,2,,2,,
emulat,3,,,,1,
enabl,2,,2,,,
enact,,,2,,3,
enamor,3,,,,,1
enchant,3,,,,,1
enclos,,,2,,2,
encounter,,,1,,3,
encourag,3,,1,,,1
encouragment,2,,,,,
encroach,,2,2,,2,
encroachment,,2,2,,,
end,,,,,,1
endanger,,3,,,,
endear,3,,,,,2
endearment,3,,,,,
endeavor,,,,,3,
endles,,1,1,,,2
endors,2,,1,,,
endur,,1,3,,,3
enduranc,,,3,,,
enemi,,3,,,,
enemy,,3,,,,
energetic,1,,3,,3,
energetically,1,,3,,3,
energi,,,2,,,
energy,,,2,,,
enforc,,1,3,,3,
engag,,1,1,,3,
enhanc,1,,3,,1,
enjoy,3,,,,,2
enjoyment,3,,,,,
enlarg,,,2,,,
enlighten,2,,,,,
enlist,,,,,2,
enmity,,3,,,,
ennobl,3,,2,,,
enormou,,,3,,,
enough,3,,2,,,
enrag,,3,,1,,1
enraptur,3,,,,,
enrol,,,,,2,
enroll,,,,,2,
enshrin,3,,,,,
enslav,,3,3,,2,
enslavement,,3,,,,
ensu,1,,2,,1,
ensur,1,,,,,
entent,3,,3,,,
enter,,,,,2,
enterpris,,,,,3,
entertain,2,,,,2,
enthusiasm,3,,,,,
enthusiastic,3,,,,,
envelop,,,3,,2,
envi,,3,,1,,3
enviou,,3,,1,,3
envy,,3,,1,,3
equal,,,1,,,
equanimity,2,,2,,,
equip,,,2,,1,
equipment,,,2,,,
equiti,3,,,,,
equity,3,,,,,
eradicat,,3,2,,2,
eradication,,3,2,,2,
erect,,,2,,3,
erection,,,2,,2,
erroneou,,2,,,,
error,,2,,1,,
escap,,,2,,3,
escort,1,,,,1,
essenc,,,1,,,
establish,,,2,,2,
esteem,3,,2,,,2
estimat,,,,,,2
estrang,,2,,2,,
estrangement,,2,,2,,
eternal,3,,2,,,
evacuat,,,,3,2,
evacuation,,,,3,2,
evad,,2,,2,3,
evaluat,,,,,,2
evaluation,,,,,,2
evil,,3,,,,
evolv,,,,,1,
exacerbat,,2,,,,
exacerbation,,2,,,,
exaggerat,,,,,,2
exalt,3,,,,,1
examin,,,,,1,
examination,,,,,1,
exce,1,,2,,3,
excel,3,,,,,
excellent,3,,,,,
exceptional,3,,,,,
exces,,1,,,,
exchang,,,,,2,
excit,2,,,,2,
excitement,2,,,,3,
exclud,,2,2,,1,
exclusion,,2,2,,1,
exclusiv,,,2,,,
execut,,3,2,,3,
execution,,3,2,,3,
exempt,,,,,1,
exercis,,,2,,3,
exert,,2,2,,3,
exhaust,,,,,,3
exhibit,,,,,1,
exil,,2,,,2,
exist,,,1,,,
expansion,,,3,,3,
expansionist,,,3,,3,
expect,,,,,,2
expectation,,2,,,,
expedient,,1,,,,
expedition,,,,,2,
expel,,2,3,,2,
expend,,,,,2,
expens,,1,,,,
experience,1,,1,,,
expert,3,,1,,,
expir,,,,3,,3
explain,,,,,,2
exploit,,3,2,,3,
exploitation,,3,2,,3,
